country,count
USA,3
LUX,1
DEU,17
IDN,1
GBR,12
COL,1
HUN,1
ECU,1
PRT,1
POL,1
NLD,3
FRA,30
ESP,124
IRQ,2
GTM,2
AUS,5
IRL,1
GRC,1
NZL,1
YEM,1
MEX,4
TUR,1
ITA,10
ARG,2
RUS,5
MYS,2
